lead_time,avg_price_per_room,no_of_special_requests,arrival_date,arrival_month,market_segment_type,no_of_week_nights,booking_status
0.5056433408577877,0.12037037037037038,0.0,0.03333333333333333,0.8181818181818182,0.75,0.11764705882352941,1.0
0.01128668171557562,0.19755555555555557,0.2,0.16666666666666669,0.9090909090909091,1.0,0.1764705882352941,1.0
0.002257336343115124,0.11111111111111112,0.0,0.9,0.09090909090909091,1.0,0.058823529411764705,0.0
0.47629796839729116,0.1851851851851852,0.0,0.6333333333333333,0.36363636363636365,1.0,0.11764705882352941,0.0
0.10835214446952596,0.17500000000000002,0.0,0.3333333333333333,0.2727272727272727,1.0,0.058823529411764705,0.0
0.7810383747178329,0.21296296296296297,0.2,0.4,0.7272727272727273,1.0,0.11764705882352941,0.0
0.07674943566591422,0.19916666666666666,0.2,0.4666666666666667,0.8181818181818182,1.0,0.1764705882352941,1.0
0.1873589164785553,0.19557407407407407,0.2,0.8333333333333334,0.9999999999999999,1.0,0.1764705882352941,1.0
0.27313769751693,0.17944444444444446,0.2,0.16666666666666669,0.5454545454545454,0.75,0.23529411764705882,1.0
0.09932279909706546,0.24711111111111111,0.6000000000000001,0.5666666666666667,0.8181818181818182,1.0,0.29411764705882354,1.0
0.0,0.15746296296296297,0.0,0.3333333333333333,0.7272727272727273,1.0,0.0,1.0
0.07900677200902934,0.26,0.2,0.9666666666666667,0.2727272727272727,1.0,0.058823529411764705,1.0
0.06772009029345372,0.16296296296296298,0.0,0.8333333333333334,0.9090909090909091,1.0,0.058823529411764705,0.0
0.21444695259593677,0.16666666666666669,0.4,0.6333333333333333,0.9090909090909091,1.0,0.0,0.0
0.10609480812641083,0.17500000000000002,0.4,0.6333333333333333,0.8181818181818182,1.0,0.11764705882352941,1.0
0.5778781038374717,0.21296296296296297,0.2,0.4666666666666667,0.4545454545454545,1.0,0.11764705882352941,0.0
0.0,0.17777777777777778,0.0,0.13333333333333333,0.8181818181818182,0.75,0.0,1.0
0.002257336343115124,0.17777777777777778,0.2,0.3,0.6363636363636364,1.0,0.1764705882352941,1.0
0.22347629796839727,0.12037037037037038,0.0,0.9666666666666667,0.8181818181818182,1.0,0.11764705882352941,0.0
0.02708803611738149,0.13333333333333333,0.0,0.1,0.8181818181818182,0.75,0.0,1.0
0.22347629796839727,0.12037037037037038,0.0,0.9666666666666667,0.8181818181818182,1.0,0.11764705882352941,0.0
